district,facility,date
kaoma dho,luampa,2010-03-09
kaoma dho,nyambi 2,2010-03-01
kaoma dho,kasabi,2010-03-04
kaoma dho,kaaba,2010-03-04
kaoma dho,kabilamwandi,2010-03-02
kaoma dho,winda,2010-03-09
kaoma dho,namilangi,2010-03-02
kaoma dho,kandende,2010-03-04
kaoma dho,njonjolo,2010-03-09
kaoma dho,lui,2010-03-04
kaoma dho,mayukwayukwa 1,2010-03-09
kaoma dho,mbanyutu,2010-03-05
kaoma dho,mwanambuyu,2010-03-04
kaoma dho,mayukwayukwa 2 (aha),2010-03-05
kaoma dho,saint josephs,2010-03-09
kaoma dho,afumba,2010-03-05
kaoma dho,zns mangango,2010-03-01
kaoma dho,nkeyema,2010-04-06
kaoma dho,nyambi 1,2010-04-06
kaoma dho,mulwa,2010-04-06
kaoma dho,kasimba,2010-04-06
kaoma dho,chitwa,2010-04-06
kaoma dho,nakayembe,2010-04-06
kaoma dho,kaoma urban,2010-04-06
kaoma dho,luena camp,2010-04-06
kaoma dho,katunda,2010-04-06
kaoma dho,mulamba,2010-04-06
kaoma dho,luampa,2010-04-07
kaoma dho,nyambi 2,2010-04-06
kaoma dho,kasabi,2010-04-06
kaoma dho,kaaba,2010-04-06
kaoma dho,kabilamwandi,2010-04-06
kaoma dho,winda,2010-04-06
kaoma dho,namilangi,2010-04-06
kaoma dho,kandende,2010-04-07
kaoma dho,kahare,2010-04-07
kaoma dho,njonjolo,2010-04-07
kaoma dho,nkenga,2010-04-09
kaoma dho,lui,2010-04-09
